id_str,screen_name,created_at,latitude,longitude,text,,,
285555348,RobertJohnCook,Wed May 09 04:18:36 +0000 2018,19.39923,-155287,"Meanwhile, down the street... #bigislandlavaflow @ Hawai'i Volcanoes",,,
362523555,QuakesToday,Wed May 09 04:15:03 +0000 2018,19398,-155299,"2.1 magnitude #earthquake. 8 km from #Volcano, HI, United State",,,
28028994,WestinKaanapali,Wed May 09 04:14:10 +0000 2018,20.93946854, -156.69201331,Check out Pulehu an Italian Grill featured on Maui Now and learn,,,
162261574,MabelJazmin3,Wed May 09 04:13:39 +0000 2018,20.93192952, -156.69246608,"My awesome, comfortable, tropical,",,,
362523555,QuakesToday,Wed May 09 04:05:06 +0000 2018,19406,-155267,"2.3 magnitude #earthquake. 5 km from Volcano, #HI, United State",,,
56950776,selphie6999,Wed May 09 04:01:18 +0000 2018,20.88776057, -156.44833663,"I'm at Costco Gasoline in Kahului, H",,,
56950776,selphie6999,Wed May 09 04:00:51 +0000 2018,20.88756367, -156.45017672,"I'm at Costco Pizza &amp; Food Court in Kahului, H",,,
56950776,selphie6999,Wed May 09 04:00:25 +0000 2018,20.88736209, -156.4501186,"I'm at Costco Wholesale in Kahului, H",,,
1124236429,kaleisoufl,Wed May 09 03:55:30 +0000 2018,19.79204912, -156.02776715,"life coming at us like... 🌊🌊 @ Makalawena, Hawai",,,
118717364,tmj_HI_skltrd,Wed May 09 03:48:57 +0000 2018,19.639994, -155.9969261,"This #job might be a great fit for you: Installation Technician - fcHO4sCwMa #technician #KailuaKona, HI #Hirin",,,
299217642,0wwl,Wed May 09 03:44:09 +0000 2018,20.9967,-156653,"Island living 🏝🥥🌺 @ Kapalua, Hawai",,,
254398554,JALLDAY87,Wed May 09 03:39:55 +0000 2018,20.96135606, -156.68371442,First time I seen the sun come out. 😢 ☀️ #Praise #Hawaii #Maui,,,
20118175,Nicknack784,Wed May 09 03:39:23 +0000 2018,20.68434638, -156.441257,We had to get a luau in while in Maui.,,,
494050767,Urban_Driven,Wed May 09 03:39:03 +0000 2018,20.8861,-156675,Grilling a 4.5 pound Lobster. Traveling Creative. Writing tomorrow’s,,,
494050767,Urban_Driven,Wed May 09 03:39:03 +0000 2018,20.8861,-156675,Grilling a 4.5 pound Lobster. Traveling Creative. Writing tomorrow’s,,,
238455583,TweetsNotTwits,Wed May 09 03:38:53 +0000 2018,20.73233496, -156.45217896,"I know you’re not supposed to dink things bigger than your head,",,,
28749019,michaelhaig07,Wed May 09 03:35:36 +0000 2018,20.8861,-156675,"“It's a magical world, Hobbes, ol' buddy... Let's go exploring!” -",,,
362523555,QuakesToday,Wed May 09 03:25:06 +0000 2018,19239, -155.28,"1.9 magnitude #earthquake. 21 km from Pāhala, HI, ##UnitedState",,,
118676555,tmj_HI_LABOR,Wed May 09 03:25:03 +0000 2018,19.645916, -155.9857489,"See our latest #KailuaKona, HI #job and click to apply: Load Puller - eogzF5pQp9 #Labor #Hirin",,,
266137135,tmj_MAU_skltrd,Wed May 09 03:25:03 +0000 2018,20.8893351, -156.4729469,"Want to work at AT&amp;T? We're #hiring in #Kahului, HI! Click for details: sFxGpfzyz9 #technician #Job #Job",,,
59911545,tmj_hi_retail,Wed May 09 03:25:02 +0000 2018,20.0213112, -155.673768,"Want to work at CVS Health? We're #hiring in #Waimea, HI! Click for details: EkWOOq1p1V #Retail #Job #Job",,,
28625882,tmj_mau_retail,Wed May 09 03:24:54 +0000 2018,20.8225007, -156.3302071,"See our latest #Makawao, HI #job and click to apply: Store Team Member - 8vvihtT1t0 #Retail #Hirin",,,
23539121,tmj_mau_sales,Wed May 09 03:24:54 +0000 2018,20.8875851, -156.4657765,"Exercise your passion for #leadership and #fitness! We’re looking to expand our #Kahului, HI team: Sales Advisor -",,,
23541794,tmj_mau_edu,Wed May 09 03:24:54 +0000 2018,20.8875851, -156.4657765,"This #job might be a great fit for you: Group X Instructor - Maui - QPcTm7Xv5t #Education #Kahului, HI #Hirin",,,
23226082,tmj_mau_finance,Wed May 09 03:24:54 +0000 2018,20.8901116, -156.4614301,"See our latest #Kahului, HI #job and click to apply: F&amp;I Manager - fztDF3yUoD #Finance #Hirin",,,
23053401,tmj_mau_cler,Wed May 09 03:24:54 +0000 2018,20.8911111, -156.5047222,We're #hiring! Read about our latest #job opening here: Clinical Coordinator Maui - A6mumZcOO4,,,
205079960,tmj_HI_schn,Wed May 09 03:24:54 +0000 2018,19.645916, -155.9857489,"We're #hiring! Click to apply: RTM Clerk - fjHCymqR7Q #SupplyChain #KailuaKona, HI #Job #Job",,,
22777520,tmj_mau_labor,Wed May 09 03:24:54 +0000 2018,20.8967924, -156.4329379,"Join the UPS team! See our latest #job opening here: MSTV2RjTFb #Labor #Kahului, HI #Hirin",,,
180004476,tmj_MAU_intern,Wed May 09 03:24:54 +0000 2018,20.8893351, -156.4729469,"Join the Enterprise Holdings team! See our latest #job opening here: sdxPPLQWnj #internship #Kahului, HI #Hirin",,,
9844042,cral,Wed May 09 03:23:56 +0000 2018,19.65,-155994,"Mothers’ Day is coming up, and I get a beautiful new mom, a",,,
116923047,YNVUCLOTHING,Wed May 09 03:17:28 +0000 2018,20.8907108, -156.4644165,Dope shirts still available @ynvuclothing this design only comes in,,,
